(0, 7043), 1.0
(0, 6424), 1.0
(0, 6301), 1.0
(0, 4522), 1.0
(0, 4458), 1.0
(0, 2500), 1.0
(0, 2279), 1.0
(0, 1277), 1.0
(0, 942), 1.0
(0, 348), 1.0
(0, 232), 1.0
(8134, 7237), 1.0
(8134, 4097), 1.0
(8134, 2818), 1.0
(8134, 1471), 1.0
(8081, 7858), 1.0
(8081, 7713), 1.0
(7858, 7713), 1.0
(7467, 7175), 1.0
(7467, 2680), 1.0
(7467, 1409), 1.0
(7467, 562), 1.0
(7441, 6918), 1.0
(7441, 2163), 1.0
(7441, 1718), 1.0
(7441, 1152), 1.0
(7441, 656), 1.0
(7441, 533), 1.0
(7441, 483), 1.0
(7441, 77), 1.0
(7358, 2937), 1.0
(7358, 1592), 1.0
(7292, 2880), 1.0
(7292, 1526), 1.0
(7237, 4097), 1.0
(7237, 2818), 1.0
(7237, 1471), 1.0
(7175, 2680), 1.0
(7175, 1409), 1.0
(7175, 562), 1.0
(7111, 2756), 1.0
(7111, 1345), 1.0
(7043, 6424), 1.0
(7043, 6301), 1.0
(7043, 4522), 1.0
(7043, 4458), 1.0
(7043, 2500), 1.0
(7043, 2279), 1.0
(7043, 1277), 1.0
(7043, 942), 1.0
(7043, 348), 1.0
(7043, 232), 1.0
(6977, 2220), 1.0
(6977, 1211), 1.0
(6977, 877), 1.0
(6977, 742), 1.0
(6918, 2163), 1.0
(6918, 1718), 1.0
(6918, 1152), 1.0
(6918, 656), 1.0
(6918, 533), 1.0
(6918, 483), 1.0
(6918, 77), 1.0
(6837, 2112), 1.0
(6482, 3334), 1.0
(6424, 6301), 1.0
(6424, 4522), 1.0
(6424, 4458), 1.0
(6424, 2500), 1.0
(6424, 2279), 1.0
(6424, 1277), 1.0
(6424, 942), 1.0
(6424, 348), 1.0
(6424, 232), 1.0
(6301, 4522), 1.0
(6301, 4458), 1.0
(6301, 2500), 1.0
(6301, 2279), 1.0
(6301, 1277), 1.0
(6301, 942), 1.0
(6301, 348), 1.0
(6301, 232), 1.0
(5876, 3966), 1.0
(5824, 4587), 1.0
(5762, 4838), 1.0
(5579, 4712), 1.0
(5579, 2565), 1.0
(5269, 5145), 1.0
(5208, 4396), 1.0
(5208, 3087), 1.0
(4712, 2565), 1.0
(4522, 4458), 1.0
(4522, 2500), 1.0
(4522, 2279), 1.0
(4522, 1277), 1.0
(4522, 942), 1.0
(4522, 348), 1.0
(4522, 232), 1.0
(4458, 2500), 1.0
(4458, 2279), 1.0
(4458, 1277), 1.0
(4458, 942), 1.0
(4458, 348), 1.0
(4458, 232), 1.0
(4396, 3087), 1.0
(4097, 2818), 1.0
(4097, 1471), 1.0
(4087, 3806), 1.0
(3211, 3148), 1.0
(3211, 2630), 1.0
(3148, 2630), 1.0
(3025, 1913), 1.0
(2937, 1592), 1.0
(2880, 1526), 1.0
(2818, 1471), 1.0
(2756, 1345), 1.0
(2680, 1409), 1.0
(2680, 562), 1.0
(2500, 2279), 1.0
(2500, 1277), 1.0
(2500, 942), 1.0
(2500, 348), 1.0
(2500, 232), 1.0
(2279, 1277), 1.0
(2279, 942), 1.0
(2279, 348), 1.0
(2279, 232), 1.0
(2220, 1211), 1.0
(2220, 877), 1.0
(2220, 742), 1.0
(2163, 1718), 1.0
(2163, 1152), 1.0
(2163, 656), 1.0
(2163, 533), 1.0
(2163, 483), 1.0
(2163, 77), 1.0
(1718, 1152), 1.0
(1718, 656), 1.0
(1718, 533), 1.0
(1718, 483), 1.0
(1718, 77), 1.0
(1409, 562), 1.0
(1277, 942), 1.0
(1277, 348), 1.0
(1277, 232), 1.0
(1211, 877), 1.0
(1211, 742), 1.0
(1152, 656), 1.0
(1152, 533), 1.0
(1152, 483), 1.0
(1152, 77), 1.0
(942, 348), 1.0
(942, 232), 1.0
(877, 742), 1.0
(656, 533), 1.0
(656, 483), 1.0
(656, 77), 1.0
(533, 483), 1.0
(533, 77), 1.0
(483, 77), 1.0
(348, 232), 1.0
(2680, 7175), 1.0
(2680, 1409), 1.0
(2680, 562), 1.0
(7175, 1409), 1.0
(7175, 562), 1.0
(1409, 562), 1.0
(2220, 6977), 1.0
(2220, 1211), 1.0
(6977, 1211), 1.0
(7237, 4097), 1.0
(7237, 1471), 1.0
(7237, 2818), 1.0
(4097, 1471), 1.0
(4097, 2818), 1.0
(1471, 2818), 1.0
(5876, 3966), 1.0
(7043, 1277), 1.0
(7358, 2937), 1.0
(7358, 1592), 1.0
(2937, 1592), 1.0
(6837, 2112), 1.0
(1913, 3025), 1.0
(5762, 4838), 1.0
(6977, 2220), 1.0
(6977, 742), 1.0
(6977, 1211), 1.0
(6977, 877), 1.0
(2220, 742), 1.0
(2220, 1211), 1.0
(2220, 877), 1.0
(742, 1211), 1.0
(742, 877), 1.0
